sentiment,review_body,product_category
-1,I know we've gotten to the point that polyester can be acceptable  but sometimes it's still that horrible texture  unbreathable mess. unfortunately  that's what this top is made out of. so it runs big  its billowy  and cute  but i couldn't get it off quick enough because of the feel of the fabric.,Blouses
-1,I am very disappointed with this order. the shirt looks and feels cheap  is not flattering in any way. i am sending it back right away.,Blouses
-1,The material is so thin and so itchy..like other reviewers stated..it itches so bad and feels like sandpaper..i thought it would be ok to wear a tank top underneath but sleeves are still itchy. otherwise the design is great and the long peplum hem is very pretty and would look great with skinny pants or leggings and boots,Blouses
-1,As someone with a large chest and a smaller waist  i found this top incredibly unflattering (and i like swingy tops). it was too short  too wide in the hips  and too tight in the bust. the pattern and fabric are very pretty though.,Blouses
-1,This item is huge. i'm normally a medium  sized down to a small  still massive. couldn't go too much smaller because the buttons would pull at the chest. but the sleeves are very wide  as is the waist. way too much fabric. i had high hopes for this one but it just doesn't work. for reference i love billowy and flowy tops  but this was a tent.,Blouses
-1,Whatever happened to sizing! pretty print and color but has enough fabric for 2 tops. it is also unlined which is not a huge issue. i wore it with a cami. the arms weren't too gaping for me  thankfully. i tried to make it work with a wide belt but i will have to get it tucked on the sides. i am 140 lbs and got the small. should have gone 1 or even 2 sizes smaller.,Blouses
-1,After reading the reviews i sized down to a 6. once i received it  i loved the fabric and color  however it was so ill-fitting. it's like the designer didn't even use female measurements and used a box to make this top--too wide. i liked it so much that i sized way down to a 0 and it still fit horribly. it is too wide and not long enough. both are going back!,Blouses
-1,I read the previous reviews and ordered down a size knowing that the shirt runs big.   i really wanted to love the shirt however it was a tent. with all of the extra material in the back  it billowed out in all the wrong places. the material is comfy and it's a very cute concept  just didn't work for me.,Blouses
-1,I have never written a review before  and i love retailer and shop here often. however  i am so unhappy with this shirt i wanted to share to save someone else money. it is such poor quality  it looks thick and flows in the photo  it is very thin and it itches so bad  i could hardly even stand to try it on when it came in the mail. i will deff be taking it back  and do not recommend it at all.,Blouses
0,"I loved this top in the blue and wanted so badly for it to fit however it was very unflattering on my 5'7"" frame. the bottom hemline is straight across all around whereas i thought it was longer in the back. i could see this looking great on a really petite frame. runs large  xs fit however wasn't flattering",Blouses
0,Very cute top and nice material  but the fit is strange. there's a reason that the model has her arms at her side. the shoulders fit perfectly in my usual small  but the body is very loose. the sleeves are full  probably twice as full as seen in the pictures which adds interest but was unexpected. also  the arm hole is wide  so the bottom seam of the sleeve attaches low on the body of the shirt  which creates an awkward silhouette. i normally love designs by whit  but i'm not sure about this one,Blouses
0,I also wanted to love this top but sadly had to return it because it is very short and the peplum piece is very wide. it was not flattering at all.,Blouses
0,Please be awate that although this blouse is beautiful and the color is gorgeous--it is completely sheer!!! it just doesn't match up with the price point ,Blouses
0,"I bought this online in my usual size (petite xxs) for in-store pickup. when i tried it on  the kindest word to describe it would be ""voluminous""--it was at least 2 sizes too big on me. i looked like i had taken grandma's tablecloth and constructed a homemade blouse. the blouse comes with an attached cami  which was also way too big for me. the color is not white (as described)  but rather an ivory/cream color--definitely not the best shade for my light olive skin. i do think that it looks lovel",Blouses
